Mouse.ID	Microbiota 	Diet	Gender	Genotype	Age.on.day.zero	Whole.gut.transit.time	Interval.between.FITC.gavage.and.euthanasia	Geometric.mean.of.fluorescence	Stomach.gut.segment.1	SI-1.gut.segment.2	SI-2.gut.segment.3	SI-3.gut.segment.4	SI-4.gut.segment.5	SI-5.gut.segment.6	SI-6.gut.segment.7	SI-7.gut.segment.8	SI-8.gut.segment.9	Cecum.gut.segment.10	Proximal.colon.gut.segment.11	Distal.colon.gut.segment.12
E6G7M1	BSH-high-2	Turmeric	Male	Swiss-Webster wild-type	51	3.80	2	7.85	0.0191	0.0063	0.0210	0.0000	0.0303	0.0013	0.0924	0.5372	0.2743	0.0135	0.0043	0.0003
E4G1M4	BSH-high-1	Bland-->Turmeric	Male	Swiss-Webster wild-type	49	Bland: 2.72; Turmeric: 2.08	2	7.86	0.0148	0.0014	0.0000	0.0275	0.0231	0.1162	0.0938	0.2467	0.4748	0.0017	0.0000	0.0000
E18G3M3	BSH-high-1	Turmeric	Male	C57BL/6 wild-type	49	4.27	2	7.86	0.0000	0.0000	0.0011	0.0075	0.0041	0.3917	0.0064	0.0079	0.4965	0.0493	0.0347	0.0007
E6G2M2	BSH-high-1	Turmeric	Male	Swiss-Webster wild-type	45	3.23	2	7.90	0.0088	0.0010	0.0075	0.0014	0.0465	0.0092	0.0658	0.6558	0.1750	0.0264	0.0014	0.0012
E6G7M4	BSH-high-2	Turmeric	Female	Swiss-Webster wild-type	45	4.53	2	7.91	0.0143	0.0003	0.0000	0.0094	0.0002	0.0289	0.1223	0.5991	0.2190	0.0043	0.0022	0.0000
E4G1M3	BSH-high-1	Bland-->Turmeric	Male	Swiss-Webster wild-type	49	Bland: 2.88; Turmeric: 2.10	2	8.00	0.0467	0.0057	0.0127	0.0046	0.0167	0.0737	0.0879	0.0361	0.7038	0.0109	0.0010	0.0003
E3G3M1	BSH-high-1	Turmeric	Male	Swiss-Webster wild-type	50	NA	2	8.13	0.0434	0.0036	0.0076	0.0233	0.0239	0.1192	0.0292	0.1475	0.3310	0.2193	0.0515	0.0004
E18G3M4	BSH-high-1	Turmeric	Male	C57BL/6 wild-type	49	4.30	2	8.17	0.0000	0.0004	0.0007	0.0033	0.0106	0.0606	0.2923	0.0189	0.5978	0.0114	0.0030	0.0011
E3G3M4	BSH-high-1	Turmeric	Female	Swiss-Webster wild-type	50	NA	2	8.17	0.0552	0.0029	0.0000	0.0180	0.0011	0.0659	0.0162	0.1709	0.5435	0.1260	0.0004	0.0000
E7G1M4	BSH-high-2	Turmeric	Female	C57BL/6 wild-type	46	4.93	2	8.28	0.0000	0.0002	0.0045	0.0031	0.0092	0.0437	0.1456	0.2190	0.5707	0.0026	0.0007	0.0007
E3G3M2	BSH-high-1	Turmeric	Male	Swiss-Webster wild-type	50	NA	2	8.30	0.0361	0.0033	0.0006	0.0112	0.0376	0.1180	0.0331	0.1328	0.3160	0.2456	0.0644	0.0013
E3G3M3	BSH-high-1	Turmeric	Female	Swiss-Webster wild-type	50	NA	2	8.40	0.0283	0.0000	0.0000	0.0049	0.0145	0.0462	0.0743	0.0025	0.8269	0.0014	0.0008	0.0002
E18G4M3	BSH-high-1	Turmeric	Female	C57BL/6 wild-type	50	4.30	2	8.56	0.0000	0.0003	0.0002	0.0003	0.0023	0.0111	0.0179	0.3700	0.5868	0.0052	0.0059	0.0000
E7G1M2	BSH-high-2	Turmeric	Male	C57BL/6 wild-type	88	5.05	2	8.74	0.0000	0.0005	0.0000	0.0064	0.1188	0.0991	0.0304	0.0163	0.2167	0.4004	0.1101	0.0014
E11G4M1	BSH-high-2	Turmeric	Male	C57BL/6 wild-type	55	4.82	2	8.78	0.0000	0.0002	0.0010	0.0016	0.0014	0.0278	0.0066	0.1100	0.8470	0.0032	0.0010	0.0002
E7G1M1	BSH-high-2	Turmeric	Male	C57BL/6 wild-type	88	4.68	2	8.83	0.0006	0.0006	0.0000	0.0029	0.0313	0.0083	0.0053	0.3362	0.2653	0.3462	0.0018	0.0015
E4G1M1	BSH-high-1	Bland-->Turmeric	Male	Swiss-Webster wild-type	49	Bland: 2.97; Turmeric: 2.33	2	8.91	0.0074	0.0009	0.0019	0.0000	0.0064	0.0233	0.0073	0.0848	0.7563	0.0517	0.0493	0.0107
E4G1M2	BSH-high-1	Bland-->Turmeric	Male	Swiss-Webster wild-type	49	Bland: 2.87; Turmeric: 2.20	2	9.52	0.0055	0.0021	0.0004	0.0205	0.0004	0.0214	0.0067	0.0801	0.1043	0.6828	0.0706	0.0052
E13G1M4	BSH-high-2	Turmeric	Female	Swiss-Webster wild-type	49	4.20	4	8.73	0.0262	0.0015	0.0218	0.0015	0.0018	0.0809	0.0531	0.0266	0.3673	0.3637	0.0557	0.0000
E13G1M5	BSH-high-2	Turmeric	Female	Swiss-Webster wild-type	49	4.67	4	9.54	0.0000	0.0015	0.0025	0.0015	0.0050	0.0025	0.0199	0.0349	0.3613	0.4681	0.1022	0.0005
E13G1M3	BSH-high-2	Turmeric	Female	Swiss-Webster wild-type	49	4.20	4	9.76	0.0027	0.0000	0.0014	0.0028	0.0048	0.0191	0.0048	0.0468	0.1164	0.6711	0.1231	0.0069
E13G1M2	BSH-high-2	Turmeric	Female	Swiss-Webster wild-type	49	4.28	4	10.22	0.0030	0.0010	0.0006	0.0048	0.0010	0.0093	0.0267	0.0088	0.0543	0.5437	0.2141	0.1328
E13G1M1	BSH-high-2	Turmeric	Female	Swiss-Webster wild-type	49	4.23	4	10.32	0.0000	0.0000	0.0000	0.0004	0.0000	0.0074	0.0004	0.0049	0.0072	0.7126	0.1603	0.1068
E6G4M2	SPF	Turmeric	Male	Swiss-Webster wild-type	45	2.52	2	8.52	0.0390	0.0067	0.0011	0.0528	0.0011	0.0850	0.0058	0.2450	0.1153	0.2348	0.2128	0.0006
E6G4M4	SPF	Turmeric	Female	Swiss-Webster wild-type	43	3.27	2	8.68	0.0341	0.0017	0.0007	0.0010	0.0014	0.0747	0.0776	0.2538	0.0050	0.4938	0.0553	0.0010
E6G4M1	SPF	Turmeric	Male	Swiss-Webster wild-type	45	2.52	2	9.72	0.0234	0.0010	0.0009	0.0018	0.0125	0.0107	0.0554	0.0063	0.2163	0.2415	0.4058	0.0245
E6G4M3	SPF	Turmeric	Female	Swiss-Webster wild-type	43	2.65	2	9.74	0.0129	0.0000	0.0026	0.0026	0.0135	0.0004	0.0326	0.0317	0.1111	0.5651	0.2250	0.0024
E6G3M4	BSH-low-1 + BSH-high-1	Turmeric	Female	Swiss-Webster wild-type	46	4.72	2	4.39	0.0340	0.0562	0.3221	0.2045	0.0304	0.2247	0.0861	0.0323	0.0004	0.0043	0.0041	0.0009
E3G4M4	BSH-low-1 + BSH-high-1	Turmeric	Female	Swiss-Webster wild-type	51	NA	2	5.65	0.1595	0.0053	0.0401	0.0728	0.0002	0.3334	0.0877	0.2612	0.0362	0.0026	0.0009	0.0002
E3G4M3	BSH-low-1 + BSH-high-1	Turmeric	Female	Swiss-Webster wild-type	51	NA	2	6.74	0.0642	0.0086	0.0084	0.0000	0.0940	0.0014	0.4939	0.2708	0.0560	0.0020	0.0008	0.0000
E3G5M3	BSH-low-1 + BSH-high-1	Turmeric-->Bland	Female	Swiss-Webster wild-type	52	NA	2	6.78	0.0144	0.0015	0.0188	0.0160	0.0004	0.2657	0.5588	0.0113	0.0902	0.0150	0.0078	0.0000
E6G3M2	BSH-low-1 + BSH-high-1	Turmeric	Male	Swiss-Webster wild-type	46	4.00	2	7.16	0.0000	0.0039	0.0486	0.0216	0.0476	0.0978	0.2023	0.5346	0.0406	0.0013	0.0013	0.0005
